,001
2350,punishment
2351,pure
2352,purpose
2353,putamen
2354,putative
2355,quality
2356,quantified
2357,quantify
2358,quantitative
2360,questionnaire
2361,questions
2363,random effects
2364,randomized
2365,randomly
2366,range
2367,ranging
2369,rapidly
2371,rarely
2373,rated
2374,rates
2376,ratings
2377,ratio
2378,rationale
2379,reach
2380,reaching
2383,reaction times
2384,reactions
2385,reactivity
2386,read
2387,readers
2388,reading
2389,real
2390,real time
2391,real world
2392,reality
2393,reappraisal
2394,reasoning
2395,recall
2396,receive
2397,received
2398,receiving
2399,recently
2400,receptor
2401,recognition
2402,recognition memory
2403,recognition task
2404,recognize
2405,recognized
2406,recognizing
2407,recollection
2408,recorded
2410,recordings
2411,recovery
2413,recruited
2414,recruitment
2415,recruits
2417,reduces
2418,reducing
2420,reductions
2421,reference
2422,referential
2423,referred
2424,refers
2426,reflected
2427,reflecting
2428,reflects
2429,regard
2430,regarding
2431,regardless
2432,regional
2433,regional cerebral
2434,regional gray
2435,regional homogeneity
2436,regular
2437,regulate
2438,regulating
2439,regulation
2440,regulatory
2441,rehabilitation
2442,rehearsal
2443,reho
2444,reinforcement
2445,reinforcement learning
2447,relates
2449,relational
2450,relations
2452,relationships
2453,relatively
2454,relevance
2455,relevant
2456,relevant information
2457,reliability
2458,reliable
2459,reliably
2460,reliance
2461,relied
2462,relies
2463,rely
2464,remain
2465,remain unclear
2466,remained
2467,remaining
2468,remarkably
2469,remember
2470,remembered
2471,remembering
2472,remote
2473,reorganization
2474,repeat
2476,repeatedly
2477,repetition
2478,repetition suppression
2479,repetitive
2480,replicate
2481,replicated
2483,reported
2484,reports
2487,representational
2488,representations
2489,represented
2490,representing
2491,represents
2493,required
2494,requirements
2495,requires
2496,requiring
2497,research
2498,research suggests
2499,researchers
2500,residual
2501,resolution
2502,resolve
2503,resonance
2504,resonance experiment
2505,resonance healthy
2506,resonance images
2507,resonance measure
2508,resonance performing
2509,resonance rs
2510,resonance scans
2511,resources
2512,respect
2514,respectively
2516,responded
2517,responding
2518,responds
2520,response inhibition
2521,response selection
2523,response times
2524,responses
2525,responsible
2526,responsive
2527,responsiveness
2528,rest
2529,resting
2530,resting state
2531,restricted
2532,result
2533,resulted
2534,resulting
2535,retention
2536,retrieval
2537,retrieved
2538,retrosplenial
2539,retrosplenial cortex
2541,revealing
2542,reveals
2543,reversal
2544,reverse
2545,reversed
2547,reward anticipation
2548,rewarding
2549,rewards
2550,rhythm
2551,rich
2552,rise
2553,risk
2554,risk taking
2555,risky
2556,robust
2558,rois
2560,roles
2561,rostral
2562,rostral anterior
2563,rotation
2565,rsfc
2568,rules
2570,runs
2573,saccades
2574,sad
2575,salience
2576,salience network
2577,salient
2579,samples
2580,sampling
2582,scales
2583,scalp
2585,scanned
2586,scanned using
2587,scanner
2588,scanning
2589,scans
2591,scenes
2592,schizophrenia
2593,schizophrenic
2594,sclerosis
2596,scores
2599,search
2600,second
2601,secondary
2602,secondary somatosensory
2603,sectional
2605,seeds
2606,seeking
2607,seen
2608,segregated
2609,segregation
2610,select
2611,selected
2612,selection
2614,selective attention
2615,selectively
2616,selectivity
2617,self
2618,self referential
2619,self report
2620,self reported
2622,semantic memory
2623,semantically
2624,semantics
2626,sensations
2627,sense
2628,sensitive
2629,sensitivity
2630,sensorimotor
2631,sensorimotor cortex
2632,sensorimotor network
2633,sensory
2634,sensory information
2635,sensory motor
2637,sentence comprehension
2638,sentences
2639,separable
2641,separated
2642,separately
2643,separation
2645,sequences
2646,sequential
2647,serial
2648,series
2649,serotonin
2651,served
2652,serves
2654,sessions
2656,sets
2658,settings
2659,seven
2660,seventeen
2661,severe
2662,severity
2663,sex
2664,sexual
2665,sham
2667,shaped
2668,shapes
2669,share
2670,shared
2671,shed
2672,shed light
2674,shifted
2675,shifting
2676,shifts
2677,short
2678,short term
2679,shorter
2680,showing
2681,shown
2682,shows
2684,sided
2685,sighted
2688,signal change
2689,signal task
2690,signaling
2691,signals
2692,signature
2693,significance
2694,significance statement
2695,signs
2696,sii
2697,silent
2698,similarities
2699,similarity
2700,similarly
2701,simple
2702,simply
2703,simulated
2704,simulation
2706,simultaneous eeg
2707,simultaneously
2708,single
2709,single subject
2710,single trial
2712,sites
2714,situations
2715,sixteen
2717,sizes
2719,skills
2720,skin
2721,skin conductance
2722,sleep
2723,slow
2724,slower
2725,sma
2726,small
2727,smaller
2728,smokers
2729,smoking
2732,social cognition
2733,social cognitive
2735,social interactions
2736,socially
2737,software
2738,solving
2739,somatosensory
2740,somatosensory cortex
2741,somatosensory cortices
2742,sought
2744,sounds
2746,sources
2747,space
2748,span
2749,sparse
2751,spatial attention
2752,spatial information
2753,spatial temporal
2754,spatially
2755,spatiotemporal
2757,speakers
2758,speaking
2759,special
2760,specialization
2761,specialized
2762,species
2763,specifically
2764,specificity
2765,specified
2766,spectral
2767,spectrum
2769,spectrum disorders
2770,speech
2771,speech perception
2772,speech production
2773,speed
2774,spin
2775,spin labeling
2776,spinal
2777,spl
2778,spoken
2779,spontaneous
2780,stable
2782,stages
2783,standard
2784,standardized
2786,state connectivity
2787,state functional
2788,state networks
2789,statement
2790,states
2791,static
2792,statistics
2793,status
2794,step
2795,stg
2796,stimulated
2797,stimulation
2798,stimulation tms
2799,stimuli
2800,stimuli presented
2801,stimulus
2802,stimulus driven
2803,stimulus response
2804,stop
2805,stop signal
2806,storage
2807,stored
2808,strategic
2809,strategies
2810,strategy
2812,streams
2813,strength
2814,stress
2815,stress disorder
2816,striatal
2817,striatum
2818,striking
2819,stroke
2821,strongest
2822,strongly
2823,stroop
2824,stroop task
2825,structural
2826,structural functional
2827,structural magnetic
2829,structure function
2830,structures
2831,structures involved
2832,sts
2833,students
2834,studied
2835,studying
2836,sub
2837,subcortical
2838,subcortical structures
2839,subgenual
2840,subject
2841,subjective
2842,subregions
2844,subsequent memory
2845,subsequently
2846,subserve
2847,subserved
2848,subserving
2849,subset
2850,substance
2851,substantia
2853,substantially
2855,substrates
2856,subtle
2857,subtraction
2858,success
2860,successfully
2861,successive
2862,suffering
2863,sufficient
2865,suggest functional
2866,suggested
2867,suggesting
2868,suggests
2869,sulci
2870,sulcus
2871,sulcus ips
2872,sulcus sts
2873,sum
2874,summary
2875,superior
2876,superior frontal
2877,superior inferior
2878,superior middle
2879,superior parietal
2880,superior temporal
2881,supplementary
2882,supplementary motor
2883,supported
2884,supporting
2885,supports
2886,suppressed
2887,suppression
2888,supramarginal
2889,supramarginal gyrus
2890,surface
2891,surprisingly
2892,surrounding
2893,susceptibility
2894,sustained
2895,sustained attention
2896,switch
2897,switching
2898,symbolic
2900,symptom severity
2901,symptoms
2902,synchronization
2903,syndrome
2904,syntactic
2905,systematic
2906,systematically
2907,systems
2908,systems involved
2911,tactile
2912,taken
2913,taken suggest
2914,taking
2915,tapping
2917,target detection
2918,targeted
2919,targets
2921,task conditions
2922,task demands
2923,task difficulty
2924,task functional
2925,task induced
2926,task involving
2927,task irrelevant
2928,task performance
2929,task positive
2930,task relevant
2931,task required
2932,task task
2933,task using
2934,tasks
2935,taste
2938,techniques
2939,tegmental
2941,temporal cortex
2942,temporal cortices
2943,temporal frontal
2944,temporal gyri
2945,temporal gyrus
2946,temporal inferior
2948,temporal lobes
2949,temporal occipital
2950,temporal parietal
2951,temporal pole
2952,temporal sulcus
2953,temporale
2954,temporally
2955,temporo
2956,temporo parietal
2957,temporoparietal
2958,temporoparietal junction
2959,tend
2960,tendency
2961,tensor
2962,tensor dti
2964,term memory
2965,terms
2966,tesla
2968,tested
2969,testing
2970,tests
2971,thalamic
2972,thalamus
2973,theoretical
2974,theories
2975,theory
2976,theory mind
2977,therapeutic
2978,therapy
2979,thickness
2980,thinking
2981,thirteen
2982,thirty
2984,thoughts
2985,threat
2986,threatening
2987,threshold
2990,time courses
2991,time points
2992,time series
2993,time task
2994,times
2995,timing
2996,tissue
2997,tms
2998,tom
2999,tomography
3000,tomography pet
3002,tones
3003,took
3005,tools
3006,total
3007,touch
3008,tpj
3009,track
3010,tracking
3012,tractography
3013,tracts
3015,traditionally
3016,trained
3017,training
3019,traits
3020,trajectories
3021,transcranial
3022,transcranial magnetic
3023,transfer
3024,transformation
3025,transient
3026,transition
3027,trauma
3028,traumatic
3029,treated
3031,treatments
3032,trend
3034,trial trial
3035,trials
3036,trigger
3037,triggered
3038,true
3039,turn
3040,twice
3042,types
3044,typically
3045,typically developing
3046,unaffected
3047,uncertain
3048,uncertainty
3049,unclear
3050,undergoing
3051,undergoing functional
3053,underlies
3054,underlying
3055,underlying mechanisms
3057,underpinnings
3058,understand
3059,understanding
3060,understood
3061,unexpected
3062,unfamiliar
3063,unilateral
3064,unimodal
3066,uniquely
3067,univariate
3068,unknown
3069,unlike
3070,unmedicated
3071,unpleasant
3072,unrelated
3073,upcoming
3074,updating
3075,upper
3077,use functional
3078,useful
3079,users
3080,uses
3081,using
3082,using event
3083,using functional
3084,using resting
3085,using voxel
3086,usually
3087,utility
3088,utilized
3091,valence
3092,valid
3093,validated
3094,validity
3095,valuable
3097,values
3098,variability
3100,variables
3101,variance
3102,variant
3104,variations
3105,varied
3106,varies
3107,variety
3108,various
3109,vary
3110,varying
3111,vbm
3112,vector
3113,ventral
3114,ventral anterior
3115,ventral dorsal
3116,ventral medial
3117,ventral premotor
3118,ventral striatum
3119,ventral tegmental
3120,ventral visual
3121,ventrolateral
3122,ventrolateral prefrontal
3123,ventromedial
3124,ventromedial prefrontal
3126,verbal
3127,verbal fluency
3128,verbal working
3129,verbs
3130,vermis
3131,version
3132,versus
3135,video clips
3136,videos
3137,view
3138,viewed
3139,viewing
3140,violations
3141,virtual
3142,vision
3144,visual attention
3145,visual auditory
3146,visual cortex
3147,visual cortices
3148,visual field
3149,visual information
3150,visual motion
3151,visual perception
3152,visual stimuli
3153,visual stimulus
3154,visual stream
3155,visual word
3156,visually
3157,visually presented
3158,visuo
3159,visuo spatial
3160,visuomotor
3161,visuospatial
3162,vivo
3163,vlpfc
3164,vmpfc
3165,vocal
3166,voice
3168,volumes
3169,volumetric
3170,voluntary
3171,volunteers
3173,voxel morphometry
3174,voxel wise
3175,voxels
3176,voxelwise
3178,vulnerability
3179,watched
3180,watching
3182,ways
3183,weak
3184,weaker
3186,weeks
3187,weight
3188,weighted
3189,whilst
3190,white
3191,white matter
3193,widely
3194,widespread
3195,wiley
3196,wiley periodicals
3197,window
3198,wise
3200,wm task
3201,women
3203,word form
3204,word pairs
3205,word recognition
3206,words
3207,work
3208,working
3209,working memory
3210,world
3211,worse
3212,written
3214,year old
3215,years
3216,years old
3217,yield
3218,yielded
3219,young
3220,young adults
3221,young healthy
3222,young older
3223,younger
3224,younger adults
3225,youth
3226,zone
