,text,Does the sentence describe a personal reflection or thought?,Does the sentence contain a proper noun?,Does the sentence describe a physical action?,Does the sentence describe a personal or social interaction that leads to a change or revelation?,Does the sentence involve the mention of a specific object or item?,Does the sentence involve a description of physical environment or setting?,Does the sentence describe a relationship between people?,Does the sentence mention a specific location?,Is time mentioned in the input?,Is the sentence abstract rather than concrete?,Does the sentence express the narrator's opinion or judgment about an event or character?,Is the input related to a specific industry or profession?,Does the sentence include dialogue?,Does the sentence describe a visual experience or scene?,Does the input involve planning or organizing?,Does the sentence involve spatial reasoning?,Does the sentence involve an expression of personal values or beliefs?,Does the sentence contain a negation?,Does the sentence describe a sensory experience?,Does the sentence include technical or specialized terminology?,Does the input contain a number?,Does the sentence contain a cultural reference?,Does the text describe a mode of communication?,Does the input include a comparison or metaphor?,Does the sentence express a sense of belonging or connection to a place or community?,Does the sentence describe a specific sensation or feeling?,Does the text include a planning or decision-making process?,Does the sentence include a personal anecdote or story?,Does the sentence involve a discussion about personal or social values?,Does the text describe a journey?,Does the input contain a measurement?,Does the sentence describe a physical sensation?,Does the sentence include a direct speech quotation?,"Is the sentence reflective, involving self-analysis or introspection?",Does the input describe a specific texture or sensation?
239,for sprinklers ch ch ch ch {ig} ch ch ch ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,sprinklers ch ch ch ch {ig} ch ch ch ch {ig},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,ch ch ch ch {ig} ch ch ch ch {ig} and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,ch ch ch {ig} ch ch ch ch {ig} and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,ch ch {ig} ch ch ch ch {ig} and i was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,ch {ig} ch ch ch ch {ig} and i was enjoying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,{ig} ch ch ch ch {ig} and i was enjoying myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,ch ch ch ch {ig} and i was enjoying myself and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,ch ch ch {ig} and i was enjoying myself and enjoying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,ch ch {ig} and i was enjoying myself and enjoying the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,ch {ig} and i was enjoying myself and enjoying the absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,{ig} and i was enjoying myself and enjoying the absence of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,and i was enjoying myself and enjoying the absence of anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,i was enjoying myself and enjoying the absence of anger and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,was enjoying myself and enjoying the absence of anger and enjoying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,enjoying myself and enjoying the absence of anger and enjoying these,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,myself and enjoying the absence of anger and enjoying these few,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,and enjoying the absence of anger and enjoying these few hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,enjoying the absence of anger and enjoying these few hours i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,the absence of anger and enjoying these few hours i knew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,absence of anger and enjoying these few hours i knew i'd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,of anger and enjoying these few hours i knew i'd have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,anger and enjoying these few hours i knew i'd have of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,and enjoying these few hours i knew i'd have of freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,enjoying these few hours i knew i'd have of freedom and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,these few hours i knew i'd have of freedom and just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,few hours i knew i'd have of freedom and just to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,hours i knew i'd have of freedom and just to perfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,i knew i'd have of freedom and just to perfect it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,knew i'd have of freedom and just to perfect it i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,i'd have of freedom and just to perfect it i thought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,have of freedom and just to perfect it i thought i'll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,of freedom and just to perfect it i thought i'll have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,freedom and just to perfect it i thought i'll have a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,and just to perfect it i thought i'll have a smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,just to perfect it i thought i'll have a smoke and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,to perfect it i thought i'll have a smoke and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,perfect it i thought i'll have a smoke and then it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,it i thought i'll have a smoke and then it occurred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,i thought i'll have a smoke and then it occurred to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,thought i'll have a smoke and then it occurred to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,i'll have a smoke and then it occurred to me with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,have a smoke and then it occurred to me with horrifying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,a smoke and then it occurred to me with horrifying speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,smoke and then it occurred to me with horrifying speed i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,and then it occurred to me with horrifying speed i don't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,then it occurred to me with horrifying speed i don't have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,it occurred to me with horrifying speed i don't have a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,occurred to me with horrifying speed i don't have a light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,to me with horrifying speed i don't have a light just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,me with horrifying speed i don't have a light just then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,with horrifying speed i don't have a light just then as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,horrifying speed i don't have a light just then as if,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,speed i don't have a light just then as if in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,i don't have a light just then as if in answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,don't have a light just then as if in answer i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,have a light just then as if in answer i see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,a light just then as if in answer i see a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,light just then as if in answer i see a figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,just then as if in answer i see a figure up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,then as if in answer i see a figure up ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,as if in answer i see a figure up ahead who,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,if in answer i see a figure up ahead who is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,in answer i see a figure up ahead who is that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,answer i see a figure up ahead who is that it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,i see a figure up ahead who is that it's not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,see a figure up ahead who is that it's not him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,a figure up ahead who is that it's not him ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,figure up ahead who is that it's not him ok they,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,up ahead who is that it's not him ok they don't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,ahead who is that it's not him ok they don't have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,who is that it's not him ok they don't have a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,is that it's not him ok they don't have a dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,that it's not him ok they don't have a dog who,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,it's not him ok they don't have a dog who is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,not him ok they don't have a dog who is that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,him ok they don't have a dog who is that what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,ok they don't have a dog who is that what uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,they don't have a dog who is that what uh what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,don't have a dog who is that what uh what are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,have a dog who is that what uh what are they,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,a dog who is that what uh what are they doing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,dog who is that what uh what are they doing out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,who is that what uh what are they doing out on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,is that what uh what are they doing out on this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,that what uh what are they doing out on this suburban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,what uh what are they doing out on this suburban street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,uh what are they doing out on this suburban street and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,what are they doing out on this suburban street and the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,are they doing out on this suburban street and the person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,they doing out on this suburban street and the person comes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,doing out on this suburban street and the person comes closer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,out on this suburban street and the person comes closer and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,on this suburban street and the person comes closer and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,this suburban street and the person comes closer and i could,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,suburban street and the person comes closer and i could see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,street and the person comes closer and i could see it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,and the person comes closer and i could see it's a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,the person comes closer and i could see it's a woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,person comes closer and i could see it's a woman and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,comes closer and i could see it's a woman and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,closer and i could see it's a woman and then i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,and i could see it's a woman and then i can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,i could see it's a woman and then i can see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,could see it's a woman and then i can see she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,see it's a woman and then i can see she has,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,it's a woman and then i can see she has her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,a woman and then i can see she has her hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,woman and then i can see she has her hands in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,and then i can see she has her hands in her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,then i can see she has her hands in her face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,i can see she has her hands in her face oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,can see she has her hands in her face oh she's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,see she has her hands in her face oh she's crying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,she has her hands in her face oh she's crying and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,has her hands in her face oh she's crying and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,her hands in her face oh she's crying and then she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,hands in her face oh she's crying and then she sees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,in her face oh she's crying and then she sees me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,her face oh she's crying and then she sees me and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,face oh she's crying and then she sees me and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,oh she's crying and then she sees me and she composes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,she's crying and then she sees me and she composes herself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,crying and then she sees me and she composes herself and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,and then she sees me and she composes herself and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,then she sees me and she composes herself and she gets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,she sees me and she composes herself and she gets closer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,sees me and she composes herself and she gets closer and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,me and she composes herself and she gets closer and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,and she composes herself and she gets closer and i see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,she composes herself and she gets closer and i see she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,composes herself and she gets closer and i see she has,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,herself and she gets closer and i see she has no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,and she gets closer and i see she has no shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,she gets closer and i see she has no shoes on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,gets closer and i see she has no shoes on she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,closer and i see she has no shoes on she has,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,and i see she has no shoes on she has no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,i see she has no shoes on she has no shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,see she has no shoes on she has no shoes on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,she has no shoes on she has no shoes on and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,has no shoes on she has no shoes on and she's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,no shoes on she has no shoes on and she's crying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,shoes on she has no shoes on and she's crying and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,on she has no shoes on and she's crying and she's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,she has no shoes on and she's crying and she's out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,has no shoes on and she's crying and she's out on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,no shoes on and she's crying and she's out on the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,shoes on and she's crying and she's out on the street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,on and she's crying and she's out on the street street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,and she's crying and she's out on the street street i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,she's crying and she's out on the street street i recognize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,crying and she's out on the street street i recognize her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,and she's out on the street street i recognize her though,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,she's out on the street street i recognize her though i've,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,out on the street street i recognize her though i've never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,on the street street i recognize her though i've never met,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,the street street i recognize her though i've never met her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,street street i recognize her though i've never met her and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,street i recognize her though i've never met her and just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,i recognize her though i've never met her and just as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,recognize her though i've never met her and just as she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,her though i've never met her and just as she passes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,though i've never met her and just as she passes me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,i've never met her and just as she passes me she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,never met her and just as she passes me she says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,met her and just as she passes me she says you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,her and just as she passes me she says you got,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,and just as she passes me she says you got a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,just as she passes me she says you got a cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,as she passes me she says you got a cigarette and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,she passes me she says you got a cigarette and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,passes me she says you got a cigarette and i say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,me she says you got a cigarette and i say you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,she says you got a cigarette and i say you got,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,says you got a cigarette and i say you got a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,you got a cigarette and i say you got a light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,got a cigarette and i say you got a light and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,a cigarette and i say you got a light and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,cigarette and i say you got a light and she says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,and i say you got a light and she says damn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,i say you got a light and she says damn i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,say you got a light and she says damn i hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,you got a light and she says damn i hope so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,got a light and she says damn i hope so and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,a light and she says damn i hope so and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,light and she says damn i hope so and then sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,and she says damn i hope so and then sh first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,she says damn i hope so and then sh first she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,says damn i hope so and then sh first she digs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,damn i hope so and then sh first she digs into,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,i hope so and then sh first she digs into her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,hope so and then sh first she digs into her cutoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,so and then sh first she digs into her cutoffs in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,and then sh first she digs into her cutoffs in the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,then sh first she digs into her cutoffs in the front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,sh first she digs into her cutoffs in the front nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,first she digs into her cutoffs in the front nothing and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,she digs into her cutoffs in the front nothing and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,digs into her cutoffs in the front nothing and then digs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,into her cutoffs in the front nothing and then digs in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,her cutoffs in the front nothing and then digs in the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,cutoffs in the front nothing and then digs in the back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,in the front nothing and then digs in the back and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,the front nothing and then digs in the back and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,front nothing and then digs in the back and then she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,nothing and then digs in the back and then she has,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,and then digs in the back and then she has this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,then digs in the back and then she has this vest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,digs in the back and then she has this vest on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,in the back and then she has this vest on that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,the back and then she has this vest on that has,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,back and then she has this vest on that has fifty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,and then she has this vest on that has fifty million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,then she has this vest on that has fifty million little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,she has this vest on that has fifty million little pockets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,has this vest on that has fifty million little pockets on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,this vest on that has fifty million little pockets on it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,vest on that has fifty million little pockets on it and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,on that has fifty million little pockets on it and she's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,that has fifty million little pockets on it and she's checking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,has fifty million little pockets on it and she's checking and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,fifty million little pockets on it and she's checking and checking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,million little pockets on it and she's checking and checking and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,little pockets on it and she's checking and checking and it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,pockets on it and she's checking and checking and it's looking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,on it and she's checking and checking and it's looking bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,it and she's checking and checking and it's looking bad it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,and she's checking and checking and it's looking bad it's looking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,she's checking and checking and it's looking bad it's looking very,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,checking and checking and it's looking bad it's looking very bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,and checking and it's looking bad it's looking very bad she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,checking and it's looking bad it's looking very bad she digs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,and it's looking bad it's looking very bad she digs back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,it's looking bad it's looking very bad she digs back in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,looking bad it's looking very bad she digs back in the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,bad it's looking very bad she digs back in the front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,it's looking very bad she digs back in the front again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,looking very bad she digs back in the front again deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,very bad she digs back in the front again deep deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,bad she digs back in the front again deep deep and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,she digs back in the front again deep deep and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,digs back in the front again deep deep and she pulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,back in the front again deep deep and she pulls out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,in the front again deep deep and she pulls out a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,the front again deep deep and she pulls out a pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,front again deep deep and she pulls out a pack of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,again deep deep and she pulls out a pack of matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
